Column_Name,Variable Type,pre/post,Priority,Adobe Variable Name,Description,example,data type,Use instead,Dynamic Pricing,Transformation,Transformations,Transformation Type,Extended Column Type,New Column 1,New Column 2,New Column 3,New Column 4,New Column 5,New Column 6,New Column 7
evar42,custom,pre,,Product Price (v42),It stores the price of the product. This metrics is used for analysing prize related metrics. ,126.01 EUR,,post_evar42,,,,,,,,,,,,
evar43,custom,pre,,Product Colour (v43),This contains the color of the product. used to analyse the color of products selected by customers. ,SOLAR BLUE / CARBON METALLIC / BLACK,,post_evar43,,,,,,,,,,,,
evar44,custom,pre,,Product Size (v44),It collects the sizes of products . used to analyse sizes of products.,5,5,,post_evar44,,,,,,,,,,,
evar45,custom,pre,,Product Rating (v45),This contains the rating provided to a product. used to analyse the correlation between ratings, views and sales ,3,7,,post_evar45,,,,,,,,,,
evar46,custom,pre,,Product Number of Reviews (v46),It collects the number of reviews tied to a product. used to analyse the correlation between the number of reviews and the number of views, conversion and sales,1,,post_evar46,,,,,,,,,,,
evar47,custom,pre,,Product Recipe ID (v47),This is the recipe ID of mi adidas products. This is used to analyse product related data. ,R1481649023893_NG,,post_evar47,,,,,,,,,,,,
evar48,custom,pre,,Product Inspiration Name (v48),It collects the inspiration name of a mi adidas product. ,MI SAMBA,,post_evar48,,,,,,,,,,,,
evar49,custom,pre,,AB Test Group DW (v49),Contains the DW AB test name. This is used by DW to analyse AB test on the adidas website. ,NEW A/B TEST - 03/21/2017 11:12 AM:REVENUE,,post_evar49,,,,,,,,,,,,
evar5,custom,pre,,Country:Language (v5),It is an indicator of the country name and the language of the website on which user has visited, derived after applying {persistence}, {processing} and {vista rules}. It has two letter code each for country and language separated by colon (:) and is used for knowing which languages are preferred by users for navigating the website of different countries. This value is persisted via eVar5 throughout the visit unless and until it is overwritten by a new value. It is the source of Country:Language report (eVar5) in Adobe Analytics,DE:DE,,post_evar5,,,,,,,,,,
evar50,custom,pre,,Broadlog ID [Neolane] (v50),This contains the Broadlog ID from Neolane. This is used to analyse CRM campaigns. ,(None),,post_evar50,,,,,,,,,,,,
evar51,custom,pre,,Email Signup Type (v51),This contains the location where customers sign up for login, CRM activations and any other sign up,"HEADER OVERLAY",,post_evar51,,,,,,,,,,,
evar52,custom,pre,,Social Channel (v52),Collects the social channel link on PDP pages. used to analyse how customers use social capabilities on the website,"FACEBOOK EMAIL",,post_evar52,,,,,,,,,,,,
evar53,custom,pre,,Form Name (v53),This collects the form name of pany form used on the website. used to perform anlysis on the usage of forms and succes rate,DWFRM_CART,,post_evar53,,,,,,,,,,,,
evar54,custom,pre,,Encrypted Email Address (v54),It contains the encrypted email adress. This used to analyse the behaviour of registered customer,gQsFZhJAg4ckKVSsDv8jlEeqc4bifGVQFbqrUyPy86Q=,,post_evar54,,,,,,,,,,,,
evar55,custom,pre,,AB Test Optimizely ID (v55),This collects the IDs of Optimizely AB tests. This is used to analyse AB test on our website. ,Monetate CH-P13N-10-Below-70 -A-,,post_evar55,,,,,,,,,,,,
evar56,custom,pre,,Product Finding Method Stacking (v56),"It is the final value for  collection of {product finding methods} (eVar35) separated by ( "">"" ) which is derived after applying {persistence}, {processing} and {vista rules}. It is used to know the different methods which were used to find the product before it was purchased. It can hold up to 5 values of individual methods. This is a persisted value of eVar56 which gets expired after a day or before that if the user makes a purchase. . It is the source of Product finding menthod - Stack  report (eVar56) in Adobe Analytics",CERTONA RECOMMENDATIONS,,post_evar56,,,,,,,,,,,
evar57,custom,pre,,Visit Number (v57),This collects the amount of visits that a visitor visited the website,2,,post_evar57,,,,,,,,,,,,
evar58,custom,pre,,Merchandising Section (v58),Contains the section of the website where products were found. ,MEN|SHOES|BASKETBALL,,post_evar58,,,,,,,,,,,,
evar59,custom,pre,,Delivery IDs (v59),This contains the delivery ID used in emails. Used to analyse the delivery of email campaigns,1162837247,,post_evar59,,,,,,,,,,,,
evar6,custom,pre,,Date/Time (v6),It contains the time (24hour format) and day of the timezone of a customer. It used to analyse what timezone a customer was on the moment they visited the website. It changes per page based on the time. ,23:30|Monday,,post_evar6,,,,,,,,,,,,
evar60,custom,pre,,Optimizely End User Id (v60),This collects the Optimizely end user ID. Used to analyse how users use the website ,Optimizely_WAT_352_OUTLET_Header,,post_evar60,,,,,,,,,,,,
evar61,custom,pre,,Product Price Type (v61),Collects the type of product price. Can be used to analyse the price typesused on our website,"FULL PRICE ON SALE",,post_evar61,,,,,,,,,,,,
evar62,custom,pre,,Krux Segment,This collects the krux segment on the website. Use for analysing personalized pages,f123rt2198,,post_evar62,,,,,,,,,,,,
evar63,custom,pre,,,,,,post_evar63,,,,,,,,,,,,
evar64,custom,pre,,Visit Page Number (v64),This collects the visit number of the customer. Used for analysis the visit number of the website,1,,post_evar64,,,,,,,,,,,,
evar65,custom,pre,,Cookie Consent Choice (v65),Collects the choice fo customers on the cookie consent. Used for legal purposes,NON EU,,post_evar65,,,,,,,,,,,,
evar66,custom,pre,,Tool Interaction (v66),It collects the name of the 3rd party tool. Used to track the what tools are being used on our website. ,"Tool name|Interaction name|Interaction input. For instance: Product finder|Question 1|Answer B or Product Comparison Tool|select item|AZ8044",,post_evar66,,,,,,,,,,,,
evar67,custom,pre,,Products Compared To (v67),Collects the Tealium version that is used on the page. ,AQ3109,,post_evar67,,,,,,,,,,,,
evar68,custom,pre,,Number of Products on PLP (v68),"It is a final numeric value representing the number of products returned by the website based on user's search criteria. It is derived after applying {persistence}, {processing} and {vista rules} to eVar68 column. It is used to analyze the available inventory of adidas with respect to users interest. This value gets persisted through eVar68 unless and until it is overwritten by a new value or user makes a purchase.. It is the source of ""No of Products on PLP"" report (eVar68) in Adobe Analytics",139, 90,,post_evar68,,,,,,,,,,,
evar69,custom,pre,,Product Teamwear (v69),,,,post_evar69,,,,,,,,,,,,
evar7,custom,pre,,Page Owner (v7),It is the final value for the name of the owner category of the page on which current user activity was tracked by Adobe Analytics, derived after applying {persistence}, {processing} and {vista rules}. It can have any value among ECOM, CATALOG, BRAND and HYPE depending on owner to which page belongs to. It is useful in analyzing the overall performance of each owner category. This value gets persisted via eVar7, throughout the visit unless overwritten by a new value. . It is the source of Page Owner report (eVar7) in Adobe Analytics,ECOM,,post_evar7,,,,,,,
evar70,custom,pre,,404 URLs (v70),This is used to collect the URL before a 404 page. Used to analyse the location of a 404 page. ,http://m.adidas.gr/-,,post_evar70,,,,,,,,,,,,
evar71,custom,pre,,Tool Name (v71),This contains the name of the tool. Used to analyse the tools that are displayed on the website,BAZAARVOICE, CERTONA,,post_evar71,,,,,,,,,,,
evar72,custom,pre,,Tool State (v72),Collects the state ot the tool. Used to analyse how customers engage with the tool,AVAILABLE, EXPOSED, ENGAGED,,post_evar72,,,,,,,,,,
evar73,custom,pre,,Tool Product Model (v73),It collects the model ID where the tool is shown on PDP pages. ,DUB42, BEF43,,post_evar73,,,,,,,,,,,
evar74,custom,pre,,,,,,post_evar74,,,,,,,,,,,,
evar75,custom,pre,,,,,,post_evar75,,,,,,,,,,,,
evar8,custom,pre,,Brand Campaign (v8),It is the final value for the name of various campaigns categorized by brand names for which they are running, derived after applying {persistence}, {processing} and {vista rules}. It is used to analyze the effectiveness of the brand campaign efforts. This value gets persisted through eVar8 unless and until it is overwritten by a new value or user makes a purchase. It is the source of Brand Campaign report (eVar8) in Adobe Analytics,ORIGINALS CLP,,post_evar8,,,,,,,,,,
evar9,custom,pre,,Hype - Release Status | Visitor Status,It resambles the release state for the customer on the hype pages. This used to analyse what states are applicable for the customers. It changes when a customer signs up for a new hype product,SIGNUP OPEN:NOT SIGNED UP,,post_evar9,,,,,,,,,,,,
event_list,custom,pre,,,Comma separated list of numeric IDs representing events passed in from the customer.(has lookup),221,218:9ZMhLkbZIX9vUIUNTf,213,214,215,216,235,236,1,100,101,102,103,104,
exclude_hit,standard,,,,Hit excluded by client rule. It is equal to 0 if the activity has to be included. Any value other than 0 means that this row will not used by Analytics reports and should be ignored,0,8-bit unsigned integer,,Y,,,,,,,,,,,
first_hit_page_url,standard,,,,The original entry page URL.,http://m.adidas.co.uk/originals-clothing,String (255 characters),,,,,,,,,,,,,
first_hit_pagename,standard,,,,The original entry page pagename.,PLP|PR_CLOTHING|B_ORIGINALS,String (255 characters),,,,,,,,,,,,,
first_hit_referrer,standard,,,,Original referrer - referrer of first hit ever for the visitor.,https://www.google.co.uk/,String (255 characters),,,,,,,,,,,,,
first_hit_time_gmt,standard,,,,Timestamp of the first hit in GMT.,1447535297,32-bit unsigned integer,,,,,,,,,,,,,
geo_city,standard,,,,City from Digital Envoy.,tamworth,String (255 characters),,,,,,,,,,,,,
geo_country,standard,,,,Country from Digital Envoy.,gbr,String (255 characters),,,,,,,,,,,,,
geo_dma,standard,,,,DMA from Digital Envoy.,826042,32-bit unsigned integer,,,,,,,,,,,,,
geo_region,standard,,,,Region / State from Digital Envoy.,sts,String (255 characters),,,,,,,,,,,,,
geo_zip,standard,,,,Zip code based on IP-address lookup,b79 0aa,String (255 characters),,,,,,,,,,,,,
hier1,standard,pre,,,not used,,,post_hier1,,,,,,,,,,,,
hier2,standard,pre,,,not used,,,post_hier2,,,,,,,,,,,,
hier3,standard,pre,,,not used,,,post_hier3,,,,,,,,,,,,
hier4,standard,pre,,,not used,,,post_hier4,,,,,,,,,,,,
hier5,standard,pre,,,not used,,,post_hier5,,,,,,,,,,,,
hit_source,standard,,1,,A flag for the back-end processing to know what type of hit the data is. It has a  value between 1 - 9  (has lookup),1,8-bit unsigned integer,,Y,,,,,,,,,,,
hit_time_gmt,standard,,,,"Set by Adobe servers, this is the timestamp used for non-timestamped report suites. This ""timestamp"" is in Unix time (number of seconds since Jan 1, 1970.)",1479566120,32-bit unsigned integer,,,,,,,,,,,,
hitid_high,standard,,1,,Used to uniquely identify a hit. The combination of hitid_low and hitid_high creates a unique ID for the row.,3177340000000000000,64-bit unsigned integer,,,,,,,,,,,,,
hitid_low,standard,,1,,Used to uniquely identify a hit. The combination of hitid_low and hitid_high creates a unique ID for the row.,6159520000000000000,64-bit unsigned integer,,,,,,,,,,,,,
homepage,standard,,,,Homepage flag, whether or not this page was the user's homepage,U,string (1 character),,,,,,,,,,,,
hourly_visitor,standard,,,,A flag to determine if current hit is a new hourly visitor. Either a value of 0 or 1.,0,8-bit unsigned integer,,,,,,,,,,,,,
ip,standard,,,,IP address of user's computer, from users ISP.,80.2.218.115,String (255 characters),,,,,,,,,,,,
ip2,standard,,,,A second IP address to be used by VISTA to determine validity of hits.,,String (255 characters),,,,,,,,,,,,,
j_jscript,standard,,,,Version of JavaScript supported by browser.,1,6,String (255 characters),,,,,,,,,,,,
java_enabled,standard,pre,,,Flag indicating whether or not java is enabled.,N,string (1 character),post_java_enabled,,,,,,,,,,,,
javascript,standard,,,,Version of Javascript (has lookup table),7,8-bit unsigned integer,,,Feed Lookup,,,,,,,,,,
language,standard,,,,Language ID (has lookup table).,45,32-bit unsigned integer,,,Feed Lookup,,,,,,,,,,
last_hit_time_gmt,standard,,,,Timestamp of the previous hit in GMT,1479566117,32-bit unsigned integer,,,,,,,,,,,,,
last_purchase_num,standard,,,,The purchase number of the previous purchase.,1,32-bit unsigned integer,,,,,,,,,,,,,
last_purchase_time_gmt,standard,,,,The time of the previous purchase.,1477253970,32-bit unsigned integer,,,,,,,,,,,,,
mcvisid,standard,,1,,It is the universal marketing cloud visitor ID that identifies unique visitors across all the solutions in the Adobe Marketing Cloud. The Marketing Cloud Visitor ID is a 128-bit number that consists of 2 signed, positive, 64-bit numbers in base 10, both padded to 19 zeros, and then concatenated.,37043600000000000000000000000000000000,String (255 characters),,,,,,,,,
mobile_id,standard,,,,The ID of the mobile device which passed the hit into marketing reports.,205202,32-bit unsigned integer,,,,,,,,,,,,,
mobileaction,standard,pre,,,Populated from the a.action context data automatically passed in when trackAction is called in the SDK. Allows for automatic action pathing in the app.,,string (255 characters),post_mobileaction,,,,,,,,,,,,
mobileappid,standard,pre,,,App Id. Stores the Application name and version in the following format:,,string (255 characters),post_mobileappid,,,,,,,,,,,,
mobilecampaigncontent,standard,pre,,,Mobile Campaign Content,,string (255 characters),post_mobilecampaigncontent,,,,,,,,,,,,
mobilecampaignmedium,standard,pre,,,Mobile Campaign Medium,,string (255 characters),post_mobilecampaignmedium,,,,,,,,,,,,
mobilecampaignname,standard,pre,,,Mobile Campaign Name,,string (255 characters),post_mobilecampaignname,,,,,,,,,,,,
mobilecampaignsource,standard,pre,,,Mobile Campaign Source,,string (255 characters),post_mobilecampaignsource,,,,,,,,,,,,
mobilecampaignterm,standard,pre,,,Mobile Campaign Term,,string (255 characters),post_mobilecampaignterm,,,,,,,,,,,,
mobiledayofweek,standard,pre,,,Day of Week. Number of the week day the app was launched.,,string (255 characters),post_mobiledayofweek,,,,,,,,,,,,
mobiledayssincefirstuse,standard,pre,,,Days Since First Use. Number of days since first run.,,string (255 characters),post_mobiledayssincefirstuse,,,,,,,,,,,,
mobiledayssincelastuse,standard,pre,,,Days Since Last Use. Number of days since last use.,,string (255 characters),post_mobiledayssincelastuse,,,,,,,,,,,,
mobiledevice,standard,pre,,,Device Name. Stores the device name.,,string (255 characters),post_mobiledevice,,,,,,,,,,,,
mobilehourofday,standard,pre,,,Hour of Day. Measures the hour the app was launched. 24 hour numerical format. Used for time parting to determine peak usage times.,,string (255 characters),post_mobilehourofday,,,,,,,,,,,,
mobileinstalldate,standard,pre,,,First Launch Date. Date of first launch after installation.MM/DD/YYYY,,string (255 characters),post_mobileinstalldate,,,,,,,,,,,,
mobilelaunchnumber,standard,pre,,,Launch Number. Number of times the application was launched or brought out of the background.,,string (255 characters),post_mobilelaunchnumber,,,,,,,,,,,,
mobileltv,standard,pre,,,Lifetime Value (evar),,string (255 characters),post_mobileltv,,,,,,,,,,,,
mobileosversion,standard,pre,,,Operating System Version.,,string (255 characters),post_mobileosversion,,,,,,,,,,,,
mobileresolution,standard,pre,,,Resolution. Width x Height in actual pixels.,,string (255 characters),post_mobileresolution,,,,,,,,,,,,
monthly_visitor,standard,,,,A flag to determine if current hit is a new monthly visitor.,0,8-bit unsigned integer,,,,,,,,,,,,,
mvvar1,custom,pre,,Form Errors (l1),Collects the form error on the website. Used to analyse what form error our customers expirience on the website. ,COUPONCODE,,post_mvvar1,,,,,,,,,,,,
